Timecode,Month,Day,Hour,0.46[n/ml],0.66[n/ml],0.89[n/ml],1.15[n/ml],1.45[n/ml],1.85[n/ml],2.55[n/ml],3.5[n/ml],4.5[n/ml],5.75[n/ml],7.25[n/ml],9[n/ml],11[n/ml],13[n/ml],15[n/ml],16.5[n/ml],PM1[uq/m3],PM2.5[uq/m3],PM10[uq/m3],avg_DurationSample[s],avg_Flowrate[ml/s],NumberOfSamples,LONG,LAT,tempC,windspeedKmph,precipMM,RelHumidity%,visibility_km,pressure_mb,cloudcover%,HeatIndexC,DewPointC,sigWaveHeight_m,swellHeight_m,waterTempC,totConc(0.38-100um)[n/ml]
8.506720430107528,8,15,17,3999663.124503926,471039.5949190113,146814.69514967492,33508.63521876247,8056.62218552974,13518.545203993199,16582.903879292757,21720.466572214144,24454.963427659794,38184.28539360305,23634.86681162614,53034.26293627394,38462.01338577404,17211.224312355844,11952.647849423847,34938.16912139142,328830.20793468546,413608.8786835055,30958226.81464471,3.015000000000001,3.2023076923076923,78,-7.248522,57.325480,16,15,0.0,80,10,1018,17,16,12,1.2,0.8,15,1281944.104301272
8.508064516129032,8,15,18,6249615.43985453,835843.969521711,366841.5536050932,56347.40434424976,17724.591633781663,12377.909364669413,19334.767134986534,11170.824686173413,24795.900437302575,47236.503518784026,42294.83090219176,40848.275685511835,35428.593645319736,20318.389697897786,13711.587095950421,32004.215846526735,579635.0649350646,692964.9350649347,31009098.70129869,3.000000000000001,3.202597402597403,77,-7.248415,57.325450,16,17,0.0,79,10,1017,18,16,12,1.2,0.8,15,2155914.3820552146
8.509408602150538,8,15,19,4956160.914949796,478917.80575660564,162237.70320999867,47714.142204851785,11181.998820716395,20002.114048495565,16580.29333297614,22380.941814225058,33619.669101410196,32339.169593246188,49778.86754715386,63219.459338734254,43098.14158191055,34364.42573800969,39619.900430130285,72521.03582441864,384400.1344707316,506506.7025255283,40010464.344245054,3.012278481012659,3.02126582278481,79,-7.248268,57.325460,16,18,0.0,79,10,1017,17,16,12,1.2,0.8,15,1511975.8028136147
8.510752688172044,8,15,20,5603578.737299248,437558.70887699496,151642.50884135108,31604.53256432155,22123.514176111763,66638.35987068487,239025.23070582404,214874.990206952,246903.92065188964,411173.82170388935,308822.12400591065,358494.4064080235,284225.1462894,190427.7037576873,145226.17502644027,341711.23150953645,407410.5496126889,688442.1492684121,258579038.48518363,3.0122222222222232,2.9017283950617285,81,-7.248100,57.325570,16,19,0.0,78,10,1018,15,16,12,1.2,0.8,15,3857862.9242077065
8.512096774193548,8,15,21,2428119.845135181,210194.95663961294,72687.02858233891,28507.177893623793,15885.670995068473,35525.24821572176,64676.57071010995,91285.93633573994,108122.12453696091,187004.76389117606,153501.87133335503,202963.84355219864,167721.57296335654,155077.14362604258,106228.34686373158,251954.67789599762,181456.57732739847,347749.3133819489,134718205.32247365,3.016857142857144,2.917428571428571,70,-7.248210,57.325610,16,21,0.0,78,10,1018,14,16,12,1.2,0.8,15,2032793.5113624332
8.513440860215054,8,15,22,2150842.9258808848,181913.41618571995,54129.487357987055,23540.190273859287,12637.555242485685,11047.323839562427,9401.785153402465,4797.034903312158,4624.210119594603,4695.325518288589,1507.2291987675083,1,1,3341.483649136513,1,1,156790.05548261403,232761.42475964586,1411087.628647664,3.027051282051283,2.778076923076923,78,-7.248483,57.325570,15,19,0.0,80,10,1018,13,15,12,1.2,0.8,15,468425.09692473034
8.51478494623656,8,15,23,6038246.43934539,507051.0367008103,229074.79419510154,91006.04502945127,35672.31012489251,71623.05602981364,50718.205598245244,9277.658381296927,5942.197495585478,15036.304999448468,1,1,1,1,1,1,468419.2521877485,836101.0342084325,3263478.918058869,3.0658536585365863,2.8068292682926828,41,-7.248446,57.325460,15,17,0.0,81,10,1017,12,15,12,1.1,0.7,15,1483820.8607423939
8.516129032258064,8,16,0,9655702.900217965,1513822.5782408009,574492.2799484169,257329.50563965057,146596.75852775795,295292.3949783379,240615.811299481,82304.05561026582,33717.72982808168,24642.04859557577,15234.509906743833,4514.424036238184,1,1,1,1,931772.8617204828,2348185.8516144934,15107358.885876257,2.950545454545455,2.7183636363636356,55,-7.248412,57.325430,15,16,0.0,83,10,1017,11,15,12,1.1,0.7,15,4120334.958331833
8.51747311827957,8,16,1,11488167.243026566,1720614.1097289831,787946.3506878047,333514.13768975413,215968.77381945794,374104.7014868184,302513.9056412426,75822.02305344486,52194.96976335794,19300.489724225765,8620.371210695275,8544.198617119238,2080.952376988662,1,1,1,1135045.7060380082,2984534.5200866004,16701891.98941544,3.0232727272727278,2.8230909090909084,55,-7.248392,57.325450,15,15,0.0,84,10,1017,13,15,12,1.1,0.7,15,5036270.689837902
8.518817204301074,8,16,2,14100881.98139923,1715585.61439777,788388.3041067382,371289.35238173016,235576.46729026793,499577.26463996054,368359.88502854307,107275.42087981317,55921.20606407551,48061.404797205665,13298.392119708507,12757.573366183906,4502.354382935786,2381.619234337995,1,2198.417754773534,1268087.864602088,3594214.9801944527,24166384.587684546,3.029454545454546,2.805272727272726,55,-7.248493,57.325510,15,14,0.0,84,10,1016,15,15,12,1.1,0.7,15,5493261.141046132
8.52016129032258,8,16,3,28169816.317434233,5323663.723914439,2303752.8254918,572597.3863518153,242249.04157783397,420929.6413093652,580829.307183427,372323.50323291286,395306.05321352405,491503.9309025327,398597.04912183894,406760.24374328164,392488.44670802925,294091.23295776325,172662.33377827427,203200.33803808593,3085314.249160402,5321749.560211097,321052086.9982407,3.0256451612903237,2.830967741935484,62,-7.248423,57.325450,15,13,0.0,85,10,1015,17,15,13,1.1,0.7,15,15656269.306685328
8.521505376344086,8,16,4,37143828.5951612,9497543.600930534,5042202.278839553,1685711.859727666,519276.42226130347,787725.9682440229,862495.9505824812,578723.9404769979,630538.814998941,733379.0028107101,630483.3080212709,686688.8789421552,449356.65173681284,351235.1952753173,191035.25838264407,189570.20109462054,5177756.148671002,9954735.855299434,520826244.6233592,3.022333333333334,2.7975,60,-7.248450,57.325460,15,12,0.0,86,10,1015,27,15,13,1.1,0.7,15,28013723.48099604
8.52284946236559,8,16,5,33486190.66379375,7892786.305242477,4020633.316784087,1398797.2990440216,544397.7199554825,963240.2893544631,1115297.6555614418,835837.3678587265,741649.6757278836,944388.3885366044,781827.8746347242,883695.6350461561,672626.3015370984,448369.87368486775,250611.83721702846,214156.47154974812,4375731.521796147,9547662.487541307,660177261.7111683,3.025873015873016,2.8542857142857136,63,-7.248478,57.325470,15,11,0.0,87,10,1015,36,15,13,1.0,0.7,15,26084047.533530958
8.524193548387096,8,16,6,23689456.307418313,4231549.110584138,1720226.378698166,424311.30348574,205130.53827997932,328772.77950395143,343587.3899759198,216045.435850342,221022.7859438494,234246.45781708584,196136.4829419625,273318.14716006326,299393.52216773276,190673.05655710466,117599.3977809067,156812.89934320102,2476975.8003908005,4230978.50593717,189253297.76040873,3.02409090909091,2.8507575757575765,66,-7.248518,57.325450,15,10,0.0,88,10,1015,46,15,13,1.0,0.7,15,11635801.486480942
